1;******RA**;ICONOGRAFA
2;*A**C****;FAGOCITUL
3;*P*C******;APICOLILOR
4;H**O******;HIPOPLAZII
5;**OHO**;PROHODI
6;***PL**;CIOPLEA
7;**V***I*****;COVARSITELOR
8;P***U*****;PARGUIRILE
9;**R***ER**E;BURGHIERILE
10;**M*****I*II;SAMAVOLNICII
11;*A*A***T*;CASAIESTE
12;S*SA***;SISALUL
13;****RAR****;CINERARIILE
14;***A*****R**;DEZAGLOMERAM
15;***R**A;TETRODA
16;******UR**;MANJITURII
17;*E**F*********;DESOFISTICARII
18;T***R*;TAIERI
19;****IL**IL**;GENTILETILOR
20;******CI***;NENOROCITUL
21;***I*T*;INAINTA
22;******UL;ISTMICUL
23;**CU***U****CU*;ASCUTITUNGHICUL
24;O******A***O*;OBNUBILARILOR
25;****AC******;BUMBACELULUI
26;****A*AR****;POSTAVARIILE
27;*E********L;CENTROZOMUL
28;*****U**S*;DEBAVURASE
29;V***I**;VRAMITE
30;**T**I;RETORI
31;**I***L***L**;EPISTOLARELOR
32;***H**B******;INCHIABUREATI
33;L*********E*;LAMINATOAREA
34;******EZ;PLATINEZ
35;***D*R****;TANDARELEI
36;***A**R*;TEVATURI
37;F*D******;FIDANTATA
38;E*******LE;EXONDARILE
39;****MA**A**;DECOMANDATA
40;*M****L*;OMAGIALI
41;****P**E*;STALPISEM
42;EL**L**;ELFILOR
43;**C**C***A*****;DECONCERTANTELE
44;***I*U*UI;GAGICULUI
45;A**LA***;APELARAM
46;*******OF****O*;SPERMATOFITELOR
47;***R******O***OR;NECREDINCIOSILOR
48;***ST****;CINSTETUL
49;**O*OR********;NEOFORMATIUNII
50;P*G*******;PEGMATITUL
51;***T**E*TE;PLUTUIESTE
52;*I**E*II;CINTEZII
53;*O***I***;FOLFAIESC
54;****I**L**I***L***L**;OTORINOLARINGOLOGELOR
55;E**E***A**E*;ESTETIZANTEI
56;B*********A;BALAOACHESA
57;*O*A***A;NOTARITA
58;D*L***;DULETI
59;****E**S***E*;RICKETTSIOZEI
60;C***S*;CIRESE
61;**A*D**;ZGARDAT
62;*****O***LO*;PRETIOASELOR
63;D***R***R;DIMPREJUR
64;**L****T;BULBUCAT
65;*****D*N*;ARIERDUNA
66;***CI**I;FLACIDEI
67;******T****L*;CONVENTIONALI
68;******TA;CUCONITA
69;N***N*S*********;NELINISTITORULUI
70;B********R***;BIHINDISIRILE
71;***L*N****;IMPLINIREA
72;I*S*I****;INSTIGAND
73;R*C****;RECENTE
74;E***E*A;EMBLEMA
75;***G***S**;SINGURASUL
76;****E**ET******;SUBSECRETARULUI
77;*E*********E*A*;DEVITALIZASERAM
78;*****R**I**;SUBAPRECIEZ
79;CL*****L**;CLASATULUI
80;**R**N****;FARAONICUL
81;**RO**R**OR;INROLARILOR
82;*R*****U;PRIMEZIU
83;C**C*A*****;CRUCIATULUI
84;P*O********;PRODIGATELE
85;**NA;VINA
86;**FR*R**;CIFRARAM
87;********S*M;INFRUNTASEM
88;**OS***;VIOSELI
89;********AT*;AMUSISERAAT
90;*E*E*R****R*;TELEGRAFIARA
91;******AD***;CITRONADELE
92;**S*************R;BASCHETBALISTILOR
93;**P****L;SEPTICUL
94;**N*NO;VENENO
95;****O*A*;GUDRONAM
96;C*R***C*****;CORDENCIULUI
97;ST*******;STROPSIRE
98;F*I*****I**;FOILETONIST
99;*****S**A;PLICISERA
100;A***TAT;ACHITAT
